OBJECTID,abiebals_FS,abiebals_NHP,fagugran_FS,fagugran_NHP,fraxamer_FS,fraxamer_NHP,fraxnigr_FS,fraxnigr_NHP,fraxpenni_FS,fraxpenni_NHP,pinustro_FS,pinustro_NHP,querrubr_FS,querrubr_NHP,tsugcana_FS,tsugcana_NHP
242,1,0,3,1,1,1,1,0,1,0,1,0,3,0,2,0
243,1,0,5,1,1,0,1,0,1,0,1,0,1,0,1,0
244,2,0,1,0,3,0,1,1,1,0,2,0,1,0,3,0
245,1,0,5,0,1,0,1,0,1,0,1,0,1,0,1,0
246,1,0,5,1,3,0,1,0,1,0,1,0,1,0,1,0
247,3,0,4,1,1,0,1,1,1,0,1,0,1,0,1,0
248,2,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1
249,2,0,2,1,1,0,1,0,1,0,1,0,1,0,1,0
250,2,0,1,0,1,0,3,0,1,0,1,0,1,0,3,0
251,1,0,3,1,1,1,1,0,1,0,1,0,1,0,1,0
252,1,0,2,0,4,1,1,1,1,0,1,0,1,0,2,1
253,1,0,2,0,1,0,1,0,1,0,1,0,1,0,2,0
254,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
255,3,0,1,1,2,0,1,0,1,0,1,0,1,0,5,0
256,2,0,1,1,1,1,1,0,1,0,2,0,2,0,2,0
257,1,0,5,1,3,0,1,0,1,0,1,0,1,0,1,0
258,1,1,1,0,1,1,2,1,1,0,1,0,1,0,1,1
259,2,1,1,0,2,0,3,1,1,0,1,0,1,0,3,0
260,1,0,3,1,2,0,1,0,1,0,1,0,1,0,3,0
261,1,0,4,1,1,0,1,0,2,0,1,0,1,0,1,0
262,1,0,4,1,1,0,1,0,1,0,1,0,1,0,1,0
263,1,0,2,1,1,0,1,0,1,0,1,0,1,0,2,1
264,1,0,2,1,2,1,1,0,1,0,1,0,2,0,1,1
265,3,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0
266,1,1,3,0,2,0,1,1,1,0,1,0,1,0,3,1
267,2,0,2,1,1,0,1,0,1,0,1,0,1,0,1,0
268,1,0,3,1,3,1,1,1,1,0,1,0,1,1,1,1
269,1,0,4,1,1,1,1,0,1,0,1,0,1,0,1,0
270,3,1,1,0,1,0,1,0,1,0,1,1,1,0,1,0
271,1,1,5,0,1,0,1,1,1,0,1,0,1,0,3,1
272,1,0,3,1,4,0,1,0,1,0,1,0,1,0,3,0
273,1,0,4,1,1,0,1,0,1,0,1,0,1,0,1,0
274,1,0,4,1,1,0,1,0,1,0,1,0,1,0,2,0
275,1,0,3,1,1,1,1,0,1,0,1,0,2,0,2,1
276,3,0,1,0,2,0,1,0,1,0,1,0,1,0,2,0
277,1,0,4,1,3,0,1,0,1,0,1,0,1,0,1,0
278,3,0,1,1,3,0,1,1,1,0,2,0,1,0,1,0
279,3,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1
280,1,0,5,1,2,1,1,0,1,0,1,0,1,0,1,0
281,1,0,1,1,1,1,1,0,1,0,1,0,1,0,4,1
282,1,0,2,1,2,0,1,0,1,0,2,0,1,0,2,0
283,3,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0
284,1,1,3,1,1,1,1,0,1,0,2,0,2,0,2,1
285,1,1,2,1,1,1,2,1,1,0,2,1,1,1,2,1
286,1,0,1,1,1,1,1,0,1,0,2,0,1,0,3,1
287,3,0,1,0,1,0,1,0,1,0,2,0,1,0,3,0
288,1,1,5,1,2,1,1,0,1,0,1,0,1,0,2,1
289,2,0,1,1,1,1,1,0,1,0,3,0,2,0,4,0
290,1,0,2,0,3,1,1,0,1,0,3,0,3,0,2,1
291,1,0,4,1,2,1,1,0,1,0,1,0,1,0,1,0
292,2,0,1,0,1,0,1,0,2,0,4,0,1,0,3,1
293,1,0,1,1,1,1,1,0,1,0,3,1,1,0,4,1
294,1,0,1,1,2,1,1,0,1,0,3,0,2,0,4,1
295,1,0,2,0,1,0,1,0,1,0,1,0,1,0,2,1
296,1,0,4,1,2,1,1,0,1,0,1,0,1,0,1,0
297,1,0,2,1,4,1,1,0,1,0,3,0,1,0,4,0
298,1,0,1,1,1,0,1,0,1,0,1,0,1,0,2,1
299,1,0,1,1,4,1,1,0,1,0,1,0,2,0,1,0
300,2,0,1,1,2,0,1,0,1,0,3,0,1,0,2,1
301,1,0,3,1,1,0,1,0,1,0,1,0,1,0,3,0
302,2,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1
303,2,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1
304,1,0,1,1,1,1,1,0,1,0,3,0,1,0,4,0
305,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
306,1,0,1,0,1,0,2,1,2,0,1,0,1,0,1,1
307,1,0,2,1,1,1,1,0,1,0,3,1,2,1,3,1
308,1,0,3,1,1,1,1,0,1,0,1,0,1,0,1,0
309,1,0,1,1,1,1,1,0,1,0,3,0,3,0,2,0
310,1,0,1,0,1,1,1,0,1,0,4,0,2,0,3,0
311,1,0,1,1,2,1,1,0,1,0,3,0,4,0,2,0
312,1,0,2,0,2,1,1,0,1,0,2,0,2,0,5,0
313,1,1,1,1,1,1,1,0,1,0,3,1,4,1,4,1
314,1,0,2,1,2,1,1,0,1,0,1,0,1,0,1,0
315,2,0,1,0,1,0,1,1,1,0,4,0,1,0,2,0
316,1,0,1,0,2,0,2,0,1,0,4,1,1,0,3,1
317,1,0,4,1,3,0,1,0,1,0,2,0,1,0,2,1
318,1,0,3,1,2,1,1,0,1,0,1,0,1,0,1,1
319,2,0,5,1,2,1,1,0,1,0,1,0,1,0,3,0
320,1,0,1,0,1,1,1,0,1,0,5,1,2,1,2,1
321,1,0,1,1,1,1,1,0,1,0,2,0,1,0,3,1
322,1,0,2,1,3,1,1,0,1,0,3,0,3,1,1,0
323,1,0,3,1,4,1,1,0,1,0,1,0,1,0,2,1
324,1,0,3,0,2,1,1,0,1,0,2,1,2,1,4,1
325,1,0,4,1,1,1,1,0,1,0,1,0,2,1,1,0
326,1,0,1,1,1,1,1,0,1,0,4,1,3,1,5,1
327,1,0,3,0,3,0,1,0,1,0,1,0,1,0,3,1
328,2,0,1,0,1,0,1,0,1,0,2,1,1,1,2,1
329,3,0,3,1,1,0,1,0,1,0,1,0,1,0,1,0
330,1,0,5,0,1,0,1,0,1,0,1,0,1,0,1,0
331,1,0,1,0,3,1,1,0,1,0,1,1,1,1,4,1
332,1,0,4,1,1,1,1,0,1,0,1,0,1,0,1,0
333,2,1,1,0,2,0,1,1,1,0,4,0,2,0,3,0
334,1,1,2,0,2,1,1,1,1,0,1,1,1,0,1,1
335,2,0,1,1,1,1,1,0,1,0,4,0,2,0,2,0
336,1,0,2,1,4,1,1,1,1,0,2,1,3,1,3,1
337,1,0,2,1,1,0,1,1,1,0,1,0,1,0,2,1
338,1,0,3,1,3,1,1,0,1,0,1,0,2,0,1,0
339,1,1,1,0,1,1,1,1,1,0,3,1,1,0,4,1
340,1,1,3,1,2,1,1,1,1,0,1,1,3,1,1,0
341,2,1,1,0,1,1,1,0,1,0,1,1,2,0,3,1
342,1,0,2,0,1,0,1,0,1,0,1,0,1,1,2,1
343,2,0,1,0,2,0,1,0,1,0,4,1,1,0,3,1
344,1,0,1,0,2,0,1,0,1,0,3,0,4,0,2,0
345,1,0,1,1,1,1,1,0,1,0,4,1,3,1,3,1
346,1,0,1,1,2,1,1,0,1,0,2,0,1,1,3,1
347,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
348,1,1,1,0,3,1,1,1,1,0,1,1,1,0,4,1
349,2,0,1,1,1,1,1,0,1,0,4,1,1,1,2,1
350,1,0,1,1,3,0,1,0,1,0,2,0,4,0,2,0
351,1,0,1,1,1,1,1,0,1,0,1,0,2,1,2,1
352,1,0,2,1,3,1,1,0,1,0,3,1,3,1,3,1
353,1,0,2,1,1,1,1,0,1,0,3,1,2,1,5,1
354,1,0,3,0,3,1,1,0,1,0,1,0,1,0,1,1
355,1,0,1,1,2,1,1,0,1,0,4,1,4,1,4,1
356,1,0,3,1,4,1,1,0,1,0,1,1,4,0,1,0
357,1,0,1,0,3,1,1,0,1,0,2,1,2,0,3,1
358,1,0,3,0,3,1,1,0,1,0,2,1,2,1,2,1
359,1,0,1,0,1,0,1,1,1,1,1,0,2,0,5,0
360,1,0,1,0,1,1,1,0,1,0,2,1,2,1,3,1
361,1,0,2,0,4,0,1,0,1,0,1,0,1,0,1,1
362,1,0,2,1,2,1,1,0,1,0,2,1,2,1,2,1
363,1,0,3,0,3,0,1,0,1,0,1,0,2,0,3,0
364,1,1,2,1,3,1,1,0,1,0,1,1,2,1,4,1
365,1,1,2,1,4,1,1,1,1,0,2,1,1,0,1,1
366,1,0,1,1,1,1,1,0,1,0,2,1,4,0,1,1
367,1,0,2,1,1,1,2,0,1,0,2,1,1,1,2,1
368,1,0,3,1,2,1,1,0,1,0,1,1,5,1,3,1
369,1,0,1,1,1,1,1,0,1,0,2,1,4,1,1,1
370,1,1,1,1,1,1,1,1,1,0,3,1,2,1,3,1
371,1,0,1,1,1,1,1,0,1,0,3,1,5,1,1,1
372,1,0,3,0,1,0,1,0,1,0,1,1,1,1,4,1
373,1,0,2,1,3,1,1,0,1,0,1,1,3,1,1,1
374,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
375,1,0,2,1,3,1,1,0,1,0,1,0,2,1,1,1
376,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
377,1,0,1,1,3,1,1,0,1,0,2,0,1,0,3,1
378,1,0,2,1,2,1,1,0,1,0,1,1,1,1,1,1
379,1,1,1,0,1,0,1,1,1,0,3,1,3,0,2,0
380,1,0,1,1,1,1,1,0,1,0,2,1,2,1,1,0
381,1,0,2,1,1,1,1,0,1,0,1,0,1,1,1,1
382,1,1,3,1,3,1,1,0,1,0,3,1,3,0,1,1
383,1,1,1,1,2,1,2,1,1,0,2,1,1,1,1,1
384,1,0,1,1,1,1,1,0,2,0,1,1,1,0,1,1
385,1,0,1,0,2,1,1,1,1,0,2,0,3,1,5,1
386,3,0,4,1,1,1,1,0,1,0,2,0,1,0,3,1
387,1,0,4,1,1,1,1,0,1,0,1,0,1,0,1,0
388,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
389,1,1,1,1,1,1,1,1,1,0,3,1,1,1,2,1
390,1,0,1,1,2,1,1,0,1,0,3,1,1,1,3,1
391,1,0,1,0,2,1,1,1,1,0,2,1,1,0,1,0
392,1,0,2,1,2,1,1,0,1,0,1,0,2,0,1,1
393,1,0,1,0,1,0,1,1,1,0,3,0,1,0,5,0
394,2,0,1,0,1,0,2,0,1,0,1,0,1,0,1,0
